epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,17703.1,0.51209,0.37192,1.00099,0.9816,0.96825,0.96867,0.81404,0.71016,0.47342,1.12588,0.0009704,0.0009704,0.0009704
158,17823,0.44635,0.32005,1.0057,0.98129,0.96825,0.96879,0.80964,0.72955,0.5012,1.11688,0.0009638,0.0009638,0.0009638
159,17935.3,0.46866,0.34053,1.00247,0.99833,0.96825,0.97099,0.82272,0.71609,0.48967,1.12201,0.0009572,0.0009572,0.0009572
160,18053.4,0.51043,0.36932,1.00794,0.98386,0.96767,0.97341,0.82347,0.71367,0.48815,1.14173,0.0009506,0.0009506,0.0009506
161,18173,0.48712,0.34851,0.98759,0.99793,0.96825,0.97285,0.80499,0.76517,0.46585,1.19142,0.000944,0.000944,0.000944
162,18293.2,0.47335,0.3329,0.98646,0.99938,0.96825,0.97278,0.80486,0.7776,0.45693,1.19662,0.0009374,0.0009374,0.0009374
163,18416.5,0.5101,0.33329,0.97812,1,0.96691,0.97297,0.82023,0.72719,0.45491,1.15269,0.0009308,0.0009308,0.0009308
164,18532.9,0.49504,0.32951,0.98028,0.99848,0.96825,0.97044,0.81233,0.73791,0.47857,1.11023,0.0009242,0.0009242,0.0009242
165,18653.5,0.49745,0.35887,0.9999,0.99824,0.96825,0.97,0.81279,0.72296,0.48223,1.0902,0.0009176,0.0009176,0.0009176
166,18774.5,0.46623,0.35844,0.97885,1,0.96126,0.96939,0.81432,0.71319,0.48026,1.11831,0.000911,0.000911,0.000911
167,18892.4,0.4908,0.36032,0.98799,1,0.96724,0.96776,0.82072,0.72141,0.49727,1.14243,0.0009044,0.0009044,0.0009044
168,19012.3,0.49486,0.35135,0.97805,0.99835,0.96825,0.97274,0.81206,0.74591,0.48466,1.14477,0.0008978,0.0008978,0.0008978
169,19129.5,0.45647,0.31744,0.98549,0.99742,0.96825,0.9741,0.81079,0.73681,0.4604,1.14281,0.0008912,0.0008912,0.0008912
170,19248,0.49046,0.35918,0.98965,0.98209,0.96825,0.97155,0.81333,0.71403,0.43638,1.13624,0.0008846,0.0008846,0.0008846
171,19366.2,0.46868,0.33186,0.99318,0.98192,0.96825,0.97081,0.81767,0.68154,0.43349,1.12221,0.000878,0.000878,0.000878
172,19482.5,0.51031,0.35914,1.01452,0.93842,0.9675,0.98078,0.81197,0.74198,0.44964,1.13272,0.0008714,0.0008714,0.0008714
173,19604.6,0.46323,0.34231,1.00927,0.93752,0.96825,0.97881,0.81989,0.69967,0.44944,1.10981,0.0008648,0.0008648,0.0008648
174,19724.2,0.52019,0.34142,0.98015,0.96823,0.96756,0.98544,0.82838,0.65819,0.43012,1.10029,0.0008582,0.0008582,0.0008582
175,19842,0.53504,0.36283,1.00512,0.96868,0.98194,0.98741,0.82668,0.65362,0.41357,1.0931,0.0008516,0.0008516,0.0008516
176,19964.5,0.50975,0.33414,0.99324,0.99764,0.95238,0.9859,0.81768,0.69976,0.4241,1.13399,0.000845,0.000845,0.000845
177,20086.5,0.5052,0.34848,1.01334,0.99688,0.95238,0.98544,0.83169,0.67857,0.42833,1.12409,0.0008384,0.0008384,0.0008384
178,20211.4,0.52084,0.33744,0.97026,0.9975,0.95238,0.98434,0.8294,0.70101,0.44452,1.12553,0.0008318,0.0008318,0.0008318
179,20333.8,0.48347,0.32019,0.98494,0.99772,0.95238,0.98171,0.8219,0.7646,0.49121,1.15797,0.0008252,0.0008252,0.0008252
180,20461.1,0.53076,0.36809,1.00574,0.99771,0.95238,0.97345,0.81594,0.73726,0.46649,1.16917,0.0008186,0.0008186,0.0008186
